Instancia;N_Itens;Algoritmo;Parametros;Melhor_Lucro;Otimo_Conhecido;Gap(%);Tempo_Medio(s);Iteracoes/Geracoes
P07;15;Busca Tabu;tabu_size=10, max_iterations=100;1456;1458;0.14;0.0031;100
P07;15;Busca Tabu;tabu_size=10, max_iterations=500;1456;1458;0.14;0.0158;500
P07;15;Busca Tabu;tabu_size=10, max_iterations=1000;1456;1458;0.14;0.0316;1000
P07;15;Busca Tabu;tabu_size=20, max_iterations=100;1456;1458;0.14;0.0007;16
P07;15;Busca Tabu;tabu_size=20, max_iterations=500;1456;1458;0.14;0.0005;16
P07;15;Busca Tabu;tabu_size=20, max_iterations=1000;1456;1458;0.14;0.0005;16
P07;15;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.01;1458;1458;0.0;0.0216;100
P07;15;Algoritmo Genetico;pop_size=50, generations=100, crossover_rate=0.8, mutation_rate=0.05;1458;1458;0.0;0.0236;100
P07;15;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.01;1458;1458;0.0;0.1088;500
P07;15;Algoritmo Genetico;pop_size=50, generations=500, crossover_rate=0.8, mutation_rate=0.05;1458;1458;0.0;0.117;500
P07;15;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.01;1458;1458;0.0;0.2197;1000
P07;15;Algoritmo Genetico;pop_size=50, generations=1000, crossover_rate=0.8, mutation_rate=0.05;1458;1458;0.0;0.2327;1000
P07;15;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.01;1458;1458;0.0;0.0453;100
P07;15;Algoritmo Genetico;pop_size=100, generations=100, crossover_rate=0.8, mutation_rate=0.05;1458;1458;0.0;0.0482;100
P07;15;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.01;1458;1458;0.0;0.2184;500
P07;15;Algoritmo Genetico;pop_size=100, generations=500, crossover_rate=0.8, mutation_rate=0.05;1458;1458;0.0;0.2343;500
P07;15;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.01;1458;1458;0.0;0.4374;1000
P07;15;Algoritmo Genetico;pop_size=100, generations=1000, crossover_rate=0.8, mutation_rate=0.05;1458;1458;0.0;0.4685;1000
P08;24;Busca Tabu;tabu_size=5, max_iterations=100;13415886;13549094;0.98;0.008;100
P08;24;Busca Tabu;tabu_size=5, max_iterations=500;13415886;13549094;0.98;0.0402;500
P08;24;Busca Tabu;tabu_size=5, max_iterations=1000;13415886;13549094;0.98;0.0802;1000
